                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.67179,                0.97045,                0.46222,                0.94033,                 0.7058,                0.43386,                0.49565,                0.25584,                0.62135,                0.43915,                0.49613,                0.24613,                 1.7586,                 3.0843,                 1.7761,                  1.823,               0.007723,               0.007723,               0.007723
                     25,                 0.6604,                0.95839,                0.45722,                0.94199,                0.70265,                 0.4709,                 0.5224,                0.28457,                0.71054,                0.47619,                0.55232,                0.28833,                 1.7017,                 2.8737,                 1.6628,                 1.7301,               0.007624,               0.007624,               0.007624
                     26,                0.65114,                0.93449,                 0.4744,                0.93698,                0.62733,                0.49206,                0.51919,                0.28199,                0.61021,                0.52381,                0.53657,                0.27583,                 1.7634,                 2.9664,                 1.7631,                 1.8153,               0.007525,               0.007525,               0.007525
                     27,                0.65105,                0.95279,                0.47287,                0.94364,                 0.7421,                0.41799,                0.53071,                0.27984,                0.60341,                 0.5291,                0.53705,                0.26823,                 1.7434,                 3.3688,                 1.5287,                 1.7556,               0.007426,               0.007426,               0.007426
                     28,                0.64712,                0.97735,                0.47465,                0.94468,                0.64905,                0.45503,                 0.5182,                0.28178,                0.65539,                0.45503,                0.51734,                0.26288,                 1.7784,                 3.0966,                  1.536,                 1.8302,               0.007327,               0.007327,               0.007327
                     29,                0.63928,                0.95371,                0.45704,                0.94685,                0.70519,                 0.4709,                0.52856,                0.29142,                0.76417,                0.49719,                0.56699,                0.27207,                 1.7274,                 3.1522,                 1.5799,                 1.8328,               0.007228,               0.007228,               0.007228
                     30,                0.63608,                0.95139,                 0.4634,                0.94437,                0.69712,                0.42624,                0.51834,                0.29113,                0.71354,                0.43493,                0.52273,                0.28271,                 1.7639,                 3.0842,                 1.8857,                 1.8171,               0.007129,               0.007129,               0.007129
                     31,                0.66412,                 1.0045,                0.48766,                0.95246,                0.61231,                0.45961,                 0.4797,                0.27343,                0.64592,                 0.4826,                 0.4999,                0.25422,                 1.7851,                 3.0774,                 1.7987,                 1.8266,                0.00703,                0.00703,                0.00703
                     32,                0.65438,                0.88922,                0.48458,                0.93548,                0.63029,                0.49735,                 0.4967,                0.25962,                0.60347,                0.47619,                0.46054,                0.22403,                 1.7765,                 4.2732,                 1.5676,                 1.8503,               0.006931,               0.006931,               0.006931
                     33,                0.65575,                0.93271,                0.46124,                0.94445,                0.74596,                0.44974,                0.53911,                0.30404,                0.72841,                0.43915,                0.51654,                 0.2525,                 1.6756,                 3.8277,                 1.5612,                 1.6986,               0.006832,               0.006832,               0.006832
                     34,                0.66373,                0.96038,                0.45845,                0.93793,                0.72287,                0.48148,                0.56708,                 0.3263,                0.67281,                0.51138,                  0.559,                0.29431,                 1.6288,                 3.4766,                 1.4435,                 1.7044,               0.006733,               0.006733,               0.006733
                     35,                0.68355,                0.96815,                0.46031,                0.94427,                0.61383,                0.46258,                0.51007,                0.28815,                0.67998,                0.43915,                0.49255,                0.27039,                 1.6875,                 3.3154,                  1.638,                 1.7297,               0.006634,               0.006634,               0.006634
                     36,                0.59727,                0.91049,                0.44019,                0.93466,                0.66168,                0.36508,                0.44343,                0.25943,                0.66203,                0.37037,                0.44462,                0.24295,                 1.7028,                  3.624,                 1.8059,                 1.7393,               0.006535,               0.006535,               0.006535
                     37,                0.63024,                0.87189,                0.45164,                0.92825,                0.57898,                0.48148,                0.47931,                0.25163,                0.58689,                 0.4709,                0.47579,                 0.2524,                 1.8484,                 3.0484,                 1.9599,                  1.834,               0.006436,               0.006436,               0.006436
                     38,                0.58067,                0.84221,                0.41843,                0.91184,                0.53473,                0.34921,                0.35141,                0.19184,                0.53767,                0.33862,                0.34039,                0.18451,                 1.8557,                 3.5694,                 2.5714,                 1.9242,               0.006337,               0.006337,               0.006337
                     39,                0.61844,                 0.9257,                 0.4316,                0.92975,                0.65443,                 0.4008,                 0.4773,                0.25036,                0.60943,                0.38624,                0.43972,                0.24573,                 1.7683,                 3.0738,                 2.0922,                 1.8631,               0.006238,               0.006238,               0.006238
                     40,                0.58324,                 0.8452,                0.42705,                0.93228,                0.77814,                0.39153,                0.49652,                0.28016,                0.75858,                0.44444,                0.51882,                0.28755,                 1.7093,                 2.8642,                 1.9963,                 1.8034,               0.006139,               0.006139,               0.006139
                     41,                0.60703,                0.87229,                0.43805,                0.92593,                0.60965,                 0.4545,                0.48711,                0.26402,                0.62992,                0.46832,                0.48385,                0.25328,                  1.797,                 3.0442,                 2.1245,                 1.8266,                0.00604,                0.00604,                0.00604
                     42,                 0.5951,                0.85968,                0.42434,                0.92606,                0.65292,                0.38095,                0.43514,                0.24078,                0.61334,                0.40212,                0.44309,                0.22985,                 1.7745,                 3.0157,                 2.4866,                 1.8252,               0.005941,               0.005941,               0.005941
                     43,                0.64663,                0.89501,                0.44653,                0.93778,                0.58406,                0.46561,                0.50754,                 0.2781,                0.62011,                0.47502,                0.50238,                0.27319,                 1.7137,                 2.7973,                 2.0628,                 1.8156,               0.005842,               0.005842,               0.005842
                     44,                0.60538,                0.90641,                0.44164,                 0.9563,                0.66617,                0.44974,                0.51798,                0.27925,                0.69265,                0.45503,                0.50902,                0.27654,                 1.7467,                 2.9926,                 2.0454,                 1.7781,               0.005743,               0.005743,               0.005743
                     45,                0.60428,                0.92054,                0.42723,                 0.9402,                0.58304,                0.42857,                0.46814,                0.25949,                0.66958,                0.40741,                0.47528,                0.24902,                  1.779,                 3.1761,                 2.2272,                 1.7585,               0.005644,               0.005644,               0.005644
                     46,                0.57486,                0.88954,                0.41649,                0.91493,                 0.8417,                0.45503,                0.55001,                0.30447,                0.81197,                0.45698,                0.54846,                0.29253,                 1.7129,                 3.1642,                 1.7255,                 1.8103,               0.005545,               0.005545,               0.005545
                     47,                0.58891,                0.85309,                0.40264,                0.92147,                0.63887,                0.53439,                0.54215,                0.30572,                0.67369,                0.53525,                0.56965,                0.30864,                 1.6823,                 3.1597,                 1.6869,                 1.8202,               0.005446,               0.005446,               0.005446
                     48,                0.55676,                0.87023,                0.40076,                0.93381,                 0.6916,                0.46275,                0.53414,                0.31138,                 0.6995,                0.46804,                0.53936,                0.29538,                  1.657,                 3.1371,                 1.7264,                 1.7669,               0.005347,               0.005347,               0.005347
                     49,                0.59312,                0.88108,                0.39583,                0.93815,                0.69235,                0.47619,                0.54901,                0.32244,                0.75031,                0.48148,                0.56264,                0.29583,                 1.7539,                 3.0935,                 1.5978,                 1.8262,               0.005248,               0.005248,               0.005248
                     50,                0.57446,                0.85218,                0.41965,                0.92096,                0.67094,                0.54497,                0.59372,                 0.3414,                0.79343,                0.49206,                0.58503,                 0.3148,                 1.5622,                 3.0896,                 1.3317,                 1.6702,               0.005149,               0.005149,               0.005149
                     51,                0.55674,                0.83113,                0.38495,                 0.9433,                0.68598,                 0.5291,                0.58568,                0.30691,                0.69937,                0.53968,                0.59386,                 0.3027,                 1.6717,                 2.9472,                 1.4408,                 1.8101,                0.00505,                0.00505,                0.00505
                     52,                0.57976,                0.84812,                0.40619,                0.93258,                0.68912,                0.48677,                0.56954,                0.30703,                 0.7071,                0.48677,                0.55182,                0.29356,                 1.6489,                 2.8124,                 1.5475,                 1.6968,               0.004951,               0.004951,               0.004951
                     53,                0.57099,                0.83777,                0.40554,                0.92662,                0.69023,                0.53439,                0.59151,                0.33621,                0.75342,                0.47619,                0.57912,                 0.3173,                 1.6357,                 2.7973,                  1.471,                 1.7419,               0.004852,               0.004852,               0.004852
                     54,                0.60472,                0.82708,                0.43097,                0.92685,                  0.749,                0.50265,                0.59546,                0.34175,                0.75737,                0.50794,                0.60208,                0.32625,                 1.6274,                 2.8479,                  1.485,                 1.6853,               0.004753,               0.004753,               0.004753
                     55,                0.54729,                0.79906,                0.39051,                0.90636,                0.73499,                0.50265,                0.60945,                0.34384,                0.74181,                0.49735,                0.60375,                0.32382,                 1.6261,                  2.849,                 1.5938,                  1.662,               0.004654,               0.004654,               0.004654
                     56,                0.52454,                  0.786,                0.37449,                0.90556,                0.85889,                0.48309,                0.62302,                0.35554,                0.78103,                0.50955,                0.61439,                0.33807,                 1.6467,                  2.821,                 1.4605,                  1.699,               0.004555,               0.004555,               0.004555
